Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass TDs,Ints Thrown,Rush Att,Rush Yds,Rush TDs,Fum Lost,FPoints
Robert Griffin III,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matt Barkley,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Sam Darnold,NYJ,544.1,344.6,"3,816.9",24.0,11.7,42.9,187.0,1.7,,248.3
Colt McCoy,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Chad Kelly,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,TEN,493.5,328.6,"3,947.1",24.5,12.6,63.1,274.3,2.6,,266.2
Nick Mullens,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Trace McSorley,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,DEN,534.8,343.3,"3,863.7",21.7,10.8,31.0,128.8,1.1,,235.7
Chase Daniel,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Carson Wentz,PHI,573.0,367.0,"3,937.0",29.5,10.3,50.5,208.0,1.9,,278.8
Matt Schaub,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Matt Ryan,ATL,614.8,403.8,"4,714.9",27.2,11.2,34.4,127.2,0.9,,287.6
Joe Burrow,CIN,574.1,359.2,"4,072.3",21.8,13.9,37.7,156.4,1.4,,242.0
Derek Carr,LV,557.1,371.6,"4,117.7",24.5,10.4,28.0,109.5,1.3,,255.7
Philip Rivers,IND,532.9,346.2,"4,077.9",26.2,14.6,7.1,22.6,0.2,,239.5
Jacoby Brissett,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Drew Brees,NO,581.9,410.0,"4,371.6",31.3,11.3,21.2,58.3,0.6,,285.4
Ryan Fitzpatrick,MIA,583.8,364.9,"4,097.6",23.3,18.5,38.6,169.1,1.4,,240.0
Tim Boyle,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Josh Allen,BUF,518.5,311.3,"3,476.8",21.1,12.3,135.3,610.8,7.5,,293.3
Justin Herbert,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Tyrod Taylor,LAC,513.0,313.9,"3,320.0",20.2,10.5,78.4,365.2,4.4,,252.0
Ben Roethlisberger,PIT,580.7,381.5,"4,389.7",29.6,13.7,13.3,46.7,0.6,,272.2
Patrick Mahomes II,KC,593.6,387.0,"4,694.4",38.0,11.7,46.9,197.2,2.1,,344.9
Jameis Winston,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Daniel Jones,NYG,580.7,364.1,"4,014.4",24.0,13.4,61.4,267.0,2.3,,259.3
Russell Wilson,SEA,526.3,344.3,"4,016.3",31.3,8.7,70.4,370.3,2.0,,313.8
Dwayne Haskins,WAS,502.1,313.1,"3,622.7",19.8,11.8,21.1,88.7,0.7,,207.4
Andy Dalton,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Case Keenum,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
