Player,Team,Bye,RushAtt,RushYard,RushTD,Rec,RecYard,RecTD,FPts
Adrian Peterson,DET,5,100,418,4,10,64,0,72.2
AJ Dillon,GB,5,110,449,3,13,86,0,71.5
Darrynton Evans,TEN,4,74,320,2,27,213,1,71.3
Darrel Williams,KC,10,98,391,2,18,135,1,70.6
Tony Pollard,DAL,10,83,349,2,23,166,1,69.5
Darrell Henderson,LAR,9,76,287,2,28,204,1,67.1
Nyheim Hines,IND,7,36,135,1,50,344,2,65.9
Jalen Richard,LV,6,52,209,1,37,305,1,63.4
Ryquell Armstead,JAC,8,81,325,2,14,115,1,62.0
Malcolm Brown,LAR,9,104,425,2,11,71,0,61.6
Carlos Hyde,SEA,6,94,387,3,6,38,0,60.5
Giovani Bernard,CIN,9,67,255,1,31,217,1,59.2
Devine Ozigbo,JAC,8,89,348,2,16,115,0,58.3
Peyton Barber,WAS,8,121,386,2,10,76,0,58.2
Dion Lewis,NYG,11,62,247,1,26,187,1,55.4
Joshua Kelley,LAC,6,87,365,2,9,65,0,55.0
Anthony McFarland Jr.,PIT,4,38,181,1,30,237,1,53.8
Benny Snell,PIT,4,79,355,2,7,61,0,53.6
James Robinson,JAC,8,83,325,2,12,88,0,53.3
Brian Hill,ATL,10,64,275,2,21,135,0,53.0
Jerick McKinnon,SF,11,59,275,2,13,82,0,47.7
Rex Burkhead,NE,5,45,181,1,24,175,1,47.6
Royce Freeman,DEN,5,60,245,1,24,137,0,44.2
Frank Gore,NYJ,10,74,275,2,8,46,0,44.1
Jaylen Samuels,PIT,4,46,173,1,22,158,0,39.1
Mike Davis,CAR,13,56,239,1,10,86,0,38.5
Rashaad Penny,SEA,6,57,245,1,6,41,0,34.6
Lynn Bowden Jr.,MIA,7,17,75,0,24,186,1,32.1
Ito Smith,ATL,10,36,156,1,9,82,0,29.8
Mike Boone,MIN,7,49,197,1,4,33,0,29.0
La'Mical Perine,NYJ,10,35,141,1,12,82,0,28.3
LeSean McCoy,TB,13,37,146,1,10,74,0,28.0
Bryce Love,WAS,8,37,164,1,6,44,0,26.8
Gus Edwards,BAL,7,38,174,1,2,18,0,25.2
Travis Homer,SEA,6,21,85,1,12,104,0,24.9
Corey Clement,PHI,9,35,131,1,5,33,0,22.4
Jeff Wilson,SF,11,30,127,1,3,21,0,20.8
Ryan Nall,CHI,11,46,182,0,3,22,0,20.4
Darwin Thompson,KC,10,36,142,0,8,51,0,19.3
Justice Hill,BAL,7,20,85,1,7,45,0,19.0
Patrick Laird,MIA,7,25,84,0,8,65,0,14.9
T.J. Yeldon,BUF,11,23,88,0,9,55,0,14.3
Ke'Shawn Vaughn,TB,13,21,85,0,6,46,0,13.1
Tyler Ervin,GB,5,13,42,0,13,86,0,12.8
Trayveon Williams,CIN,9,25,99,0,3,23,0,12.2
DeeJay Dallas,SEA,6,21,85,0,6,36,0,12.1
Khari Blasingame,TEN,4,24,85,0,4,29,0,11.4
D'Ernest Johnson,CLE,9,22,88,0,3,22,0,11.0
Wayne Gallman,NYG,11,29,86,0,2,15,0,10.1
Eno Benjamin,ARI,8,22,87,0,2,13,0,10.0
Ty Montgomery,NO,6,22,86,0,1,11,0,9.7
Buddy Howell,HOU,8,18,82,0,2,13,0,9.5
Jordan Wilkins,IND,7,12,46,0,2,17,0,6.3
Qadree Ollison,ATL,10,11,46,0,2,13,0,5.9
