Player,Team,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,FPoints
Dion Lewis,NYG,68.0,209.0,1.0,36.0,220.0,1.0,1.0,54.9
Sony Michel,NE,177.0,648.0,5.0,7.0,52.0,0.0,2.0,100.0
Royce Freeman,DEN,38.0,136.0,1.0,22.0,136.0,0.0,1.0,33.2
Christian McCaffrey,CAR,245.0,"1,135.0",9.0,114.0,971.0,5.0,4.0,294.6
Austin Ekeler,LAC,161.0,719.0,4.0,63.0,676.0,5.0,2.0,193.5
Travis Homer,SEA,,,,,,,,
Chris Thompson,JAC,53.0,199.0,1.0,47.0,376.0,1.0,1.0,69.5
Kareem Hunt,CLE,122.0,552.0,6.0,33.0,345.0,3.0,2.0,143.7
Qadree Ollison,ATL,25.0,71.0,2.0,1.0,10.0,0.0,0.0,20.1
Mike Davis,CAR,97.0,423.0,4.0,24.0,137.0,0.0,1.0,80.0
Peyton Barber,WAS,67.0,239.0,2.0,7.0,31.0,0.0,1.0,39.0
Ty Montgomery,NO,21.0,87.0,1.0,9.0,71.0,0.0,0.0,21.8
Devontae Booker,LV,27.0,138.0,1.0,8.0,64.0,0.0,0.0,26.2
Cam Akers,LAR,183.0,699.0,7.0,34.0,338.0,1.0,3.0,151.7
Saquon Barkley,NYG,270.0,"1,236.0",10.0,79.0,629.0,3.0,3.0,264.5
Giovani Bernard,CIN,93.0,296.0,3.0,38.0,272.0,0.0,1.0,74.8
D'Andre Swift,DET,142.0,602.0,4.0,34.0,398.0,2.0,3.0,136.0
Darrell Henderson,LAR,141.0,499.0,3.0,18.0,173.0,1.0,2.0,91.2
Ke'Shawn Vaughn,TB,30.0,117.0,1.0,1.0,16.0,0.0,0.0,19.3
AJ Dillon,GB,118.0,500.0,5.0,4.0,35.0,0.0,2.0,83.5
David Montgomery,CHI,227.0,786.0,7.0,20.0,159.0,1.0,2.0,142.5
Derrick Henry,TEN,301.0,"1,586.0",11.0,18.0,159.0,1.0,3.0,246.5
Dalvin Cook,MIN,274.0,"1,211.0",11.0,53.0,480.0,1.0,3.0,241.1
Ryan Nall,CHI,,,,,,,,
Rashaad Penny,SEA,63.0,310.0,2.0,6.0,62.0,0.0,1.0,49.2
Darrel Williams,KC,103.0,330.0,6.0,12.0,127.0,1.0,2.0,87.7
Chase Edmonds,ARI,112.0,468.0,5.0,21.0,136.0,1.0,1.0,96.4
DeeJay Dallas,SEA,58.0,262.0,2.0,26.0,262.0,1.0,1.0,70.4
Andy Janovich,CLE,3.0,6.0,1.0,11.0,155.0,2.0,0.0,34.1
Joe Mixon,CIN,271.0,"1,106.0",8.0,44.0,338.0,2.0,3.0,204.4
Todd Gurley II,ATL,193.0,753.0,7.0,47.0,350.0,3.0,2.0,170.3
Darwin Thompson,KC,52.0,185.0,1.0,11.0,51.0,0.0,1.0,29.6
Chris Carson,SEA,236.0,"1,046.0",8.0,26.0,189.0,1.0,3.0,177.5
Gus Edwards,BAL,86.0,471.0,2.0,5.0,34.0,0.0,1.0,62.5
Ito Smith,ATL,101.0,354.0,5.0,32.0,198.0,0.0,1.0,85.2
Jerick McKinnon,SF,121.0,562.0,4.0,23.0,238.0,1.0,2.0,110.0
Leonard Fournette,TB,178.0,615.0,9.0,22.0,198.0,0.0,2.0,135.3
Wayne Gallman,NYG,25.0,85.0,1.0,4.0,31.0,0.0,0.0,17.6
Frank Gore,NYJ,119.0,362.0,2.0,13.0,111.0,0.0,1.0,59.3
Latavius Murray,NO,153.0,657.0,7.0,26.0,176.0,0.0,2.0,125.3
Melvin Gordon III,DEN,163.0,658.0,7.0,48.0,398.0,2.0,2.0,159.6
David Johnson,HOU,200.0,772.0,4.0,40.0,429.0,4.0,2.0,168.1
Nick Chubb,CLE,261.0,"1,336.0",9.0,16.0,133.0,1.0,3.0,206.9
Chandler Cox,MIA,14.0,53.0,0.0,11.0,84.0,1.0,0.0,19.7
Justin Jackson,LAC,74.0,346.0,1.0,13.0,94.0,0.0,1.0,50.0
Tony Pollard,DAL,113.0,551.0,3.0,28.0,195.0,2.0,2.0,104.6
D'Ernest Johnson,CLE,21.0,98.0,1.0,6.0,67.0,0.0,0.0,22.5
Khari Blasingame,TEN,,,,,,,,
J.K. Dobbins,BAL,171.0,929.0,5.0,14.0,135.0,1.0,3.0,142.4
J.J. Taylor,NE,39.0,145.0,1.0,3.0,34.0,0.0,0.0,23.9
Ronald Jones II,TB,167.0,654.0,6.0,24.0,224.0,0.0,2.0,123.8
Duke Johnson Jr.,HOU,106.0,553.0,2.0,32.0,281.0,2.0,1.0,107.4
Matt Breida,MIA,149.0,662.0,3.0,40.0,306.0,2.0,2.0,126.8
Rico Dowdle,DAL,32.0,145.0,1.0,4.0,42.0,0.0,0.0,24.7
LeSean McCoy,TB,30.0,103.0,1.0,2.0,17.0,0.0,0.0,18.0
Kerryon Johnson,DET,144.0,617.0,5.0,29.0,252.0,1.0,2.0,122.9
Eno Benjamin,ARI,25.0,113.0,1.0,4.0,34.0,0.0,0.0,20.7
Jalen Richard,LV,93.0,409.0,2.0,37.0,342.0,0.0,3.0,87.1
Jonathan Taylor,IND,196.0,891.0,6.0,19.0,208.0,1.0,3.0,151.9
Jaylen Samuels,PIT,,,,,,,,
Darrynton Evans,TEN,78.0,353.0,2.0,24.0,250.0,1.0,2.0,78.3
James Robinson,JAC,120.0,499.0,3.0,27.0,247.0,1.0,2.0,98.6
