"Player","Team","Pass Att","Pass Cmp","Pass Yds","Pass Tds","Pass Ints","Rush Att","Rush Yds","Rush Tds","FL","FPts"
"Drew Brees","NO",518.1,375.1,4379.,31.9,8.4,30.5,40.7,2.1,"",300.7
"Drew Lock","DEN",0.,0.,0.,0.,0.,0.,0.,0.,"",0.
"Drew Stanton","CLE",29.5,17.3,193.,0.6,1.,2.8,12.2,0.2,0.,9.5
"Dwayne Haskins","WAS",64.8,39.3,445.9,2.4,1.7,5.2,18.8,0.2,"",26.2
"Eli Manning","NYG",466.4,277.6,3079.2,18.6,11.5,25.2,77.3,1.1,"",187.
"Gardner Minshew","JAC","","","",1.,"","","","","",""
"Garrett Gilbert","CLE",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Geno Smith","SEA",19.9,10.3,97.7,0.4,0.6,3.,13.4,0.,0.,5.8
"Jacoby Brissett","IND",523.,300.9,3438.2,23.6,13.1,62.4,242.4,2.4,"",240.
"Jake Rudock","MIA",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Jameis Winston","TB",596.3,375.4,4479.4,28.8,15.3,49.,201.,2.3,"",292.3
"Jared Goff","LAR",551.8,361.4,4500.1,32.8,12.,31.4,65.4,0.5,1.,293.3
"Jeff Driskel","CIN",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Jimmy Garoppolo","SF",524.7,349.2,4054.8,23.6,13.,40.1,97.5,2.1,"",246.1
"Joe Flacco","DEN",559.3,315.8,3515.1,20.3,17.2,63.7,338.3,2.9,"",235.5
"Joe Webb","HOU",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Josh Allen","BUF",487.5,269.4,3305.3,19.1,13.9,98.4,625.5,6.,"",273.1
"Josh Johnson","DET",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Josh McCown","PHI",25.6,14.9,161.1,0.9,0.7,2.,8.6,0.1,0.,9.8
"Josh Rosen","MIA",33.9,19.2,212.5,1.2,0.9,3.2,14.2,0.1,"",13.1
"Joshua Dobbs","PIT",23.,12.8,141.8,0.8,0.7,2.2,11.8,0.1,0.,9.3
"Kirk Cousins","MIN",618.7,428.9,4343.7,29.9,11.7,37.9,128.,1.,"",280.4
"Kyle Allen","CAR",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Kyle Lauletta","PHI",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Kyler Murray","ARI",527.5,336.9,3781.7,22.7,15.2,96.7,522.7,3.9,"",281.7
"Lamar Jackson","BAL",423.,251.,3134.6,16.9,13.1,190.6,891.8,6.8,"",292.5
"Marcus Mariota","TEN",479.7,314.4,3437.,20.,13.3,78.6,378.6,3.4,"",244.5
"Mason Rudolph","PIT","","","","","","","","","",""
"Matt Barkley","BUF",18.,11.4,148.6,0.8,0.5,2.5,2.4,0.1,0.,8.5
"Matthew Stafford","DET",558.2,365.8,3958.9,23.1,12.,27.8,67.8,0.9,"",231.2
"Matt Moore","KC",28.4,17.8,206.7,1.2,1.1,2.4,6.5,0.1,"",11.5
"Matt Ryan","ATL",600.8,400.2,4628.5,32.3,11.3,43.9,144.3,1.5,"",311.3
"Matt Schaub","ATL",22.4,12.9,135.3,0.6,0.8,2.1,7.7,0.,0.,6.3
"Mike Glennon","OAK",27.4,17.6,212.2,1.3,0.9,1.9,1.1,0.,"",11.8
"Mitch Trubisky","CHI",507.6,334.5,3726.1,25.4,14.6,70.3,420.2,2.5,"",274.4
"Nate Sudfeld","PHI",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Nathan Peterman","OAK",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Nick Foles","JAC",516.4,316.3,3487.4,22.9,11.5,26.9,133.2,1.5,1.,225.8
"Nick Mullens","SF",34.5,21.1,238.6,1.4,0.9,2.,3.1,0.,0.,13.4
"Patrick Mahomes","KC",579.6,374.2,4659.6,37.3,13.4,55.4,205.,2.1,"",339.2
"Philip Rivers","LAC",541.4,360.9,4443.9,31.3,12.4,16.5,16.6,0.2,"",278.9
"Robert Griffin","BAL",27.,16.2,184.,1.,0.8,2.6,12.3,0.2,"",11.5
"Russell Wilson","SEA",448.6,289.8,3502.8,29.3,10.2,80.1,420.4,2.6,"",293.8
"Ryan Finley","CIN","","","","","","","","","",""
"Ryan Fitzpatrick","MIA",514.3,315.2,3604.5,21.3,14.8,42.7,163.4,0.7,"",214.8
"Ryan Tannehill","TEN",27.9,15.7,181.9,1.,0.8,4.4,16.6,0.1,"",11.6
"Sam Darnold","NYJ",544.3,327.4,3779.8,22.,13.7,53.1,212.2,1.5,"",233.4
"Sean Mannion","MIN",5.7,2.9,43.,0.3,0.2,2.4,9.1,0.2,0.,4.8
"Taysom Hill","NO",8.2,4.3,60.4,0.2,0.3,37.,188.4,1.6,"",31.5
"Teddy Bridgewater","NO",30.7,17.3,237.9,1.4,0.8,4.4,8.4,0.,0.,10.6
"Tom Brady","NE",571.,368.4,4310.5,29.6,8.7,24.2,51.,1.,"",281.6
"Trevor Siemian","NYJ",34.,20.3,225.9,1.2,1.1,2.7,10.8,0.1,"",13.1
"Tyler Bray","CHI",0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
"Tyrod Taylor","LAC",32.5,19.,201.6,1.,0.8,3.,16.4,0.2,0.,12.8
"Will Grier","CAR","","","","","","","","","",""
