Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Matt Schaub,ATL,24,13.6,156.5,0.8,0.6,2.3,6.6,0.05,0,9
Mike Glennon,CHI,445.5,288.6,3361.5,24.5,10.7,39.3,124.8,0.8,,223.9
Mitch Trubisky,CHI,67.6,41.2,468.1,2.9,1.9,5.8,22.1,0.3,,29.8
Nick Foles,PHI,33.3,17.6,189,0.9,0.5,1.9,4.6,0,0,9.4
Patrick Mahomes,KC,48.6,29.5,342.8,2.1,1.25,4.7,18.9,0.3,,21.7
Paxton Lynch,DEN,40.2,23.7,249,1.7,1.1,3.6,14.4,0,,15.2
Philip Rivers,LAC,613.8,365,4288.2,31.2,16.4,17,59.5,0.5,,263.7
Russell Wilson,SEA,551.8,339.6,4120.8,29.6,10.5,75.3,343.1,2.2,,305.3
Ryan Fitzpatrick,TB,35.9,20.4,237,1.3,0.45,4.3,20,0.1,0,14.8
Ryan Mallett,BAL,30.9,15.6,160.2,0.4,1.1,2.2,9.6,0.05,0,8.4
Sam Bradford,MIN,572,355,3975.8,23.35,12.2,26.1,40.4,0.4,,233.9
Scott Tolzien,IND,61.2,34.9,362.1,1.4,1.9,2.6,3.4,0,0,16.2
Sean Mannion,LAR,27.7,14.8,149.8,0.9,0.9,2.5,9.1,0,0,8.2
Teddy Bridgewater,MIN,40.3,24.7,277.5,1.8,1.3,3.4,13.9,0.1,0,18
T.J. Yates,BUF,,,,,,,,0,0,
Tom Brady,NE,603.2,389.5,4659.8,38.5,8.5,30,58.2,1.4,,337.8
Tom Savage,HOU,325,186.7,2060.9,11.8,9.6,25.6,126.2,1.1,,127.2
Trevone Boykin,SEA,10.4,7,87.6,0.5,0.1,2.1,1.3,0,0,5.5
Trevor Siemian,DEN,519.4,308,3306.,19,14.3,31,97.3,0.8,,184.6
Tyrod Taylor,BUF,428,252.1,3108.4,18.3,8.9,95,590.4,5.1,,267.1
